,Z values,position,total,lacune,microbleeds,PVS,WMH
302,2.1786793323792653,frontal_mean,0,1,0,3,0
303,3.312390845399683,CH_mean,0,1,0,3,0
304,2.4971190831940455,BG_mean,0,1,0,3,0
305,3.033377073793128,TH_mean,0,1,0,3,0
306,2.4619566923794514,GM_mean,0,1,0,3,0
307,2.330873652267706,total_mean,0,1,0,3,0
308,1.9899578776568958,frontal_mean,0,1,0,3,1
309,2.83863264586073,CH_mean,0,1,0,3,1
310,2.7034648200734464,TH_mean,0,1,0,3,1
311,2.1309260261910836,GM_mean,0,1,0,3,1
312,2.1052705621306096,total_mean,0,1,0,3,1
313,2.179604333821331,frontal_mean,0,1,0,3,2
314,2.0210531352975463,WM_mean,0,1,0,3,2
315,3.1231296297794273,CH_mean,0,1,0,3,2
316,2.2588710216701053,BG_mean,0,1,0,3,2
317,3.0034689261873284,TH_mean,0,1,0,3,2
318,2.5090391562399352,GM_mean,0,1,0,3,2
319,2.4723574912863713,total_mean,0,1,0,3,2
320,2.090804368133898,frontal_mean,0,1,0,3,3
321,2.6483612232799003,CH_mean,0,1,0,3,3
322,2.471844083708436,CH_mean,0,1,0,4,0
323,2.602090279077008,TH_mean,0,1,0,4,0
324,1.988215047150392,GM_mean,0,1,0,4,0
325,2.1708815983757868,CH_mean,0,1,0,4,1
326,2.3467508000641146,TH_mean,0,1,0,4,1
327,2.573838651967753,CH_mean,0,1,0,4,2
328,2.6836965232472854,TH_mean,0,1,0,4,2
329,2.172639351063163,GM_mean,0,1,0,4,2
330,2.051333079329664,total_mean,0,1,0,4,2
331,2.32025348157401,CH_mean,0,1,0,4,3
332,2.3623338879131497,CH_mean,0,1,0,5,0
333,2.3116441102342544,TH_mean,0,1,0,5,0
334,2.1708815983757868,CH_mean,0,1,0,5,1
335,2.3467508000641146,TH_mean,0,1,0,5,1
336,2.573838651967753,CH_mean,0,1,0,5,2
337,2.6836965232472854,TH_mean,0,1,0,5,2
338,2.172639351063163,GM_mean,0,1,0,5,2
339,2.051333079329664,total_mean,0,1,0,5,2
340,2.32025348157401,CH_mean,0,1,0,5,3
